Должность,Работодатель,ЗП от (т.р.),ЗП до (т.р.),Средний совокупный доход при графике 2/2 по 12 часов,В час,"Длительность 
смены","Требуемый
опыт",Труд-во,График,"Частота 
выплат",Льготы,Обязаности,Ссылка
AI-тренер по работе с текстами,Яндекс Крауд,36.0,120.0,,,'11-18,От 1 года до 3 лет,ТК,4/2,,"страхование, премии, скидки, обучение","Писать тексты, а также редактировать, проверять и оценивать чужие, в том числе сгенерированные нейросетью, оценивать их. Проверять факты и отличать...",https://hh.ru/vacancy/124330563
Фитнес тренер в женскую студию,Студия растяжки и фитнеса Lightsretch,80.0,,,,'15-20,От 1 года до 3 лет,ТК,"15/20, 1/2",Ежемесячно,"бонус, обучение, чай",Для работы по следующим направлениям: TRX и другие функциональные тренировки. Stretching. Pilates. Barre. High heels. - Проводить групповые и персональные тренировки. - ,https://hh.ru/vacancy/125131158
Юрист – AI тренер,СберПраво,,,,,,От 1 года до 3 лет,ГПХ,5/2,,форма,"оценка размеченных заданий на Тегми. - дача оперативной связи по заданиям, которые находятся в разметке. - разметка данных на Tagme.",https://hh.ru/vacancy/125168338
Бизнес-тренер УДАЛЕННО (опыт в БФЛ),Свобода Финанс,80.0,,,,,От 1 года до 3 лет,ТК,5/2,,,"Разрабатывать и проводить живые и эффективные тренинги для новых и действующих менеджеров по продажам и работе с клиентами (темы: навыки продаж, работа с возражениями, особенности процедуры банкротства, стандарты обслуживания, коммуникация). Адаптировать учебные программы под специфику нашей компании и рынка. Оценивать эффективность обучения с помощью тестирования и анализа результатов работы команды. Проводить индивидуальные консультации и коучинг для развития ключевых компетенций менеджеров. Создавать современные учебные материалы: презентации, методички, кейсы. Анализировать потребности в обучении и строить программы развития персонала. Вести отчётность по результатам тренингов и развития команды. Если вы готовы стать ключевым сотрудником в нашем успехе и развивать профессионалов — присылайте резюме! Вместе мы достигнем большего!",https://hh.ru/vacancy/125308999
Инструктор-методист по лечебной физкультуре,ФГБУ Главный военный клинический госпиталь имени академика Н.Н. Бурденко МО РФ,170.0,,,,,От 1 года до 3 лет,ТК,5/2,,"форма, обучение","участвует в осмотре пациентов с целью назначения процедур лечебной физкультуры; разрабатывает гимнастические комплексы для проведения занятий по лечебной физкультуре и процедур с пациентами;проводит процедуры лечебной физкультуры и контролирует эффективность их применения; осуществляет методическое руководство средним медицинским персоналом (инструкторы по лечебной физкультуре, медицинские сестры), контролирует качество выполнения им процедур лечебной физкультуры и участвует в работе по повышению его квалификации; анализирует состояние методической работы по лечебной физкультуре и разрабатывает предложения по повышению ее эффективности; изучает и внедряет в свою практическую деятельность современные методы лечебной физкультуры по восстановлению физического здоровья и коррекции нарушений двигательной активности пациентов.",https://hh.ru/vacancy/124813732
Бизнес-тренер,"Персонал-Exclusive, Первое рекрутинговое агентство",150.0,160.0,,,,Нет опыта,ТК,5/2,,,"Проведение тренингов для сотрудников компании -Подготовка необходимых материалов по продукции компании – презентации по новинкам, скрипты для презентации и т.д. -Внедрение нововведений и современных технологий в организацию обучения. -Выявление в потребности видов тренингов для каждого канала продаж компании (Розница, ОПТ, Интернет продажи) -Разработка и подготовка всех необходимых",https://hh.ru/vacancy/125297780
Бизнес-тренер (Софт/ПО/B2B),СОФТ АЛЬЯНС,100.0,200.0,,,,От 3 до 6 лет,ТК,5/2,,"форма, обучение","Разработка и проведение бизнес-тренингов. Регулярная оценка компетенций, чек результатов работы менеджеров, совместно с руководителями отделов продаж. Выстраивание регулярной системы...",https://hh.ru/vacancy/125186031
Бизнес-тренер,Скат,100.0,150.0,,,,От 1 года до 3 лет,ТК,5/2,,,"Организация обучения персонала розничных точек продаж - Разработка программ обучения и методических материалов - Проведение тренингов для сотрудников салонов связи - Полевые выезды в розничные точки для проведения обучения и оценки работы персонала - Наставничество и адаптация новых сотрудников - Ведение отчетности по результатам обучения - Разработка и актуализация материалов по продажам и обслуживанию клиентов - Контроль выполнения требований от операторов (фотоотчет, прохождения тайных покупателей, разбор и оспаривания результатов) - Анализ знания сотрудников мотивационной программы - Частичный подбор персонала сотрудников розницы Требования - Высшее образование (педагогическое, психологическое, социологическое или экономическое) - Опыт работы от 1 лет в сфере продаж, обучения персонала - Опыт в ритейле или телеком-индустрии - Тренерская компетентность: методическая и инструментальная - Знание технологий продаж и обслуживания клиентов - Уверенное владение MS Office - Навыки публичных выступлений и ведения групповых занятий - Развитые коммуникативные навыки и умение работать в команде Условия - Конкурентная заработная плата: оклад + премиальная часть - Официальное трудоустройство - Оплата ГСМ - Профессиональное развитие: участие в профильных мероприятиях, доступ к обучающим программам - Комфортные условия работы: гибкий график - Карьерный рост в динамично развивающейся компании - Интересные проекты и возможность влиять на развитие бизнеса",https://hh.ru/vacancy/125426872
Тренер по футболу,Кулькин Дмитрий Александрович,80.0,200.0,,,'2-5,От 1 года до 3 лет,ТК,2/5,,,"Проведение тренировок по футболу для детей от 3-х лет - Участие в досуговых и спортивных мероприятиях футбольного клуба - Общение с родителями, выстраивание доброжелательных отношений - Ведение учета тренировок согласно стандартам клуба",https://hh.ru/vacancy/124967707
Инструктор ЛФК,СПОРТФИЗИО,150.0,200.0,,,,От 1 года до 3 лет,ТК,5/2,,,"инструктор по ЛФК, АФК физическая реабилитация пациентов ортопедического профиля педагогические наблюдения мобилизация суставов, миофасциальный релиз",https://hh.ru/vacancy/123852180
Тренер-косметолог,Хан Елена Брониславовна,120.0,160.0,,,,От 1 года до 3 лет,ТК,5/2,,"форма, бонус, бонусы, обучение","Проведение обучающих семинаров и мастер-классов для косметологов (онлайн и офлайн). Подготовка и адаптация методических материалов (презентации, чек-листы, протоколы). ",https://hh.ru/vacancy/125253197
Маршал-инструктор в Картинг-Центр,RacePlace,50.0,95.0,,,,Нет опыта,ТК,"2/2, 30/50",2 раза в месяц,,Инструктаж клиентов перед заездами. -Проверка и сбор чеков от клиентов перед заездами. -Проверка соблюдения техники безопасности каждого клиента перед выпуском...,https://hh.ru/vacancy/124542840
Тренер по растяжке,На шпагате,60.0,150.0,,,'2-6,Нет опыта,ТК,"2/6, 5/2, 5/7, 50/50",,обучение,"Проведение тренировок (растяжка, подкачка, здоровая спина) по авторской методике студии «НА ШПАГАТЕ», а так же возможность ввести собственное направление; Вкладывать частичку &quot;шпагатной души&quot; в каждого ученика, развитие в нем интереса к растяжке; Ведение внутренних элементарных отчетов (по шаблону); Посещение совещаний. Какой наш тренер. С : чувством юмора, усердием, трудолюбием, порядочностью, искренностью, любовью к людям, активной жизненной позицией. поперечным и продольным шпагатом, отличной физической формой - чтобы стать примером для наших учеников! личный опыт в профессиональном спорте (будет преимуществом - художественная или спортивная гимнастика, акробатика, синхронное плавание и др.) опытом проведения групповых тренировок по контактной растяжке для взрослых.",https://hh.ru/vacancy/125043137
Тренер по стретчингу,Stretch&Soul,60.0,120.0,,,'2-5,От 1 года до 3 лет,ТК,"2/5, 4/8",Еженедельно,"форма, бонус",Профильное спортивное образование или фитнес-курсы.Опыт тренерской работы с детьми или взрослыми от 1 года. Умение и желание общаться с людьми...,https://hh.ru/vacancy/124980129
Инструктор ЛФК (методист),АНО Стимул,120.0,160.0,,,,От 1 года до 3 лет,ТК,5/2,,премии,"Реабилитационные занятия с пациентами с нарушением двигательных функций. Подготовка пациентов к занятиям. Контроль за соблюдением санитарно-гигиенического режима. Участие в командных встречах и обсуждении реабилитантов, проходящих реабилитацию. Коммуникация с семьями пациентов, умение найти подход к реабилитанту, в том числе с поведенческими нарушениями.",https://hh.ru/vacancy/125396005
